i,j,rel_a,rel_b,scene,yaw_diff_deg,pitch_diff_deg,rot_deg,forward_angle_deg,baseline_m
1228,1369,15ff83e2531668d27c92091c97d31401ce323e24ee7c844cb32d5109ab9335f7/nerfstudio/images_4/frame_00165.png,15ff83e2531668d27c92091c97d31401ce323e24ee7c844cb32d5109ab9335f7/nerfstudio/images_4/frame_00311.png,15ff83e25316,64.6726,37.3847,72.5319,71.0065,2.9513
7318,7413,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00190.png,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00285.png,f71ac346cd0f,54.1024,7.6007,54.4923,54.3671,7.6386
2363,2465,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00193.png,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00295.png,493816813d2d,70.4529,6.1417,70.5208,68.7293,3.3105
6068,6360,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00003.png,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00299.png,d9b637662374,53.4841,24.5865,58.8677,58.2785,5.4922
119,300,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00120.png,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00301.png,0569e83fdc24,66.988,8.5158,67.4052,67.3978,8.439
4226,4314,b3bf9079b442c681749f6bd95cfb0659c6d844f2228b2f4fa4b602a0e3627b9a/nerfstudio/images_4/frame_00219.png,b3bf9079b442c681749f6bd95cfb0659c6d844f2228b2f4fa4b602a0e3627b9a/nerfstudio/images_4/frame_00307.png,b3bf9079b442,67.6957,2.7005,69.7669,67.6547,6.0293
3382,3435,9641a1ed7963ce5ca734cff3e6ccea3dfa8bcb0b0a3ff78f65d32a080de2d71e/nerfstudio/images_4/frame_00155.png,9641a1ed7963ce5ca734cff3e6ccea3dfa8bcb0b0a3ff78f65d32a080de2d71e/nerfstudio/images_4/frame_00208.png,9641a1ed7963,65.5306,1.2636,61.1935,54.988,3.5929
7235,7420,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00107.png,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00292.png,f71ac346cd0f,69.6639,28.0398,74.4335,74.4275,9.0431
5605,5734,cd9c981eeb4a9091547af19181b382698e9d9eee0a838c7c9783a8a268af6aee/nerfstudio/images_4/frame_00170.png,cd9c981eeb4a9091547af19181b382698e9d9eee0a838c7c9783a8a268af6aee/nerfstudio/images_4/frame_00299.png,cd9c981eeb4a,65.3107,0.1242,66.4424,65.2915,6.61
6970,7054,e78f8cebd2bd93d960bfaeac18fac0bb2524f15c44288903cd20b73e599e8a81/nerfstudio/images_4/frame_00151.png,e78f8cebd2bd93d960bfaeac18fac0bb2524f15c44288903cd20b73e599e8a81/nerfstudio/images_4/frame_00235.png,e78f8cebd2bd,72.6877,19.109,74.9035,74.6747,6.6452
6198,6355,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00133.png,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00294.png,d9b637662374,70.9945,6.1824,70.975,70.9383,3.4815
2595,2842,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00071.png,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00318.png,56452d9cd9e2,84.2984,4.7572,88.1708,83.3173,9.1296
1504,1518,286239bd0d4436b747987c40f8cbfc0675bb69435d4ab19a3f73b9d816d0c09a/nerfstudio/images_4/frame_00093.png,286239bd0d4436b747987c40f8cbfc0675bb69435d4ab19a3f73b9d816d0c09a/nerfstudio/images_4/frame_00107.png,286239bd0d44,73.7389,7.3264,75.5136,73.855,2.35
165,291,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00166.png,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00292.png,0569e83fdc24,71.9336,7.9019,72.227,71.9613,8.6092
2240,2265,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00070.png,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00095.png,493816813d2d,65.0816,0.537,65.2098,64.6926,4.655
5818,5968,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00077.png,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00227.png,d4fbeba0168a,55.0098,16.6681,57.6218,57.171,3.2645
3251,3330,9641a1ed7963ce5ca734cff3e6ccea3dfa8bcb0b0a3ff78f65d32a080de2d71e/nerfstudio/images_4/frame_00024.png,9641a1ed7963ce5ca734cff3e6ccea3dfa8bcb0b0a3ff78f65d32a080de2d71e/nerfstudio/images_4/frame_00103.png,9641a1ed7963,52.8111,18.5014,55.7767,52.2956,3.7584
13,153,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00014.png,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00154.png,0569e83fdc24,87.7344,2.9013,87.6149,87.4822,9.5836
6445,6464,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00384.png,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00403.png,d9b637662374,81.4993,9.9865,81.6655,81.6599,2.703
4789,5108,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00028.png,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00347.png,c37109a55eff,89.4208,13.3902,90.2114,90.2075,4.2133
2596,2855,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00072.png,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00331.png,56452d9cd9e2,85.0281,4.5668,88.8091,84.1381,9.3218
5254,5427,cc08c0bdc34ddd2867705d0b17a86ec2a9d7c7926ce99070ed1fdc66a812de07/nerfstudio/images_4/frame_00145.png,cc08c0bdc34ddd2867705d0b17a86ec2a9d7c7926ce99070ed1fdc66a812de07/nerfstudio/images_4/frame_00318.png,cc08c0bdc34d,66.2401,7.684,67.1802,66.6333,8.2305
4473,4693,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00099.png,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00319.png,b6d1134cb03c,70.0375,9.7637,73.7215,69.5772,5.1386
2595,2848,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00071.png,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00324.png,56452d9cd9e2,84.0624,6.2102,88.2406,82.9673,9.1949
5814,6027,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00073.png,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00286.png,d4fbeba0168a,71.8008,17.1686,73.8976,73.5429,6.8661
4018,4091,b3bf9079b442c681749f6bd95cfb0659c6d844f2228b2f4fa4b602a0e3627b9a/nerfstudio/images_4/frame_00011.png,b3bf9079b442c681749f6bd95cfb0659c6d844f2228b2f4fa4b602a0e3627b9a/nerfstudio/images_4/frame_00084.png,b3bf9079b442,50.4721,1.7651,51.7415,50.1514,5.6251
7281,7453,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00153.png,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00325.png,f71ac346cd0f,58.7944,6.494,59.0865,59.0295,7.4254
7025,7092,e78f8cebd2bd93d960bfaeac18fac0bb2524f15c44288903cd20b73e599e8a81/nerfstudio/images_4/frame_00206.png,e78f8cebd2bd93d960bfaeac18fac0bb2524f15c44288903cd20b73e599e8a81/nerfstudio/images_4/frame_00273.png,e78f8cebd2bd,84.341,2.1255,83.8444,83.7546,5.703
3766,3828,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/nerfstudio/images_4/frame_00158.png,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/nerfstudio/images_4/frame_00220.png,9c8c0e0fadd9,81.6741,6.394,83.3742,71.5879,3.8208
5327,5421,cc08c0bdc34ddd2867705d0b17a86ec2a9d7c7926ce99070ed1fdc66a812de07/nerfstudio/images_4/frame_00218.png,cc08c0bdc34ddd2867705d0b17a86ec2a9d7c7926ce99070ed1fdc66a812de07/nerfstudio/images_4/frame_00312.png,cc08c0bdc34d,52.5668,3.331,52.9152,52.6427,7.2711
1233,1332,15ff83e2531668d27c92091c97d31401ce323e24ee7c844cb32d5109ab9335f7/nerfstudio/images_4/frame_00170.png,15ff83e2531668d27c92091c97d31401ce323e24ee7c844cb32d5109ab9335f7/nerfstudio/images_4/frame_00269.png,15ff83e25316,72.1047,0.0609,71.9494,71.8745,4.586
3681,3767,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/nerfstudio/images_4/frame_00073.png,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/nerfstudio/images_4/frame_00159.png,9c8c0e0fadd9,64.6377,15.499,63.9519,60.9041,3.8523
1079,1226,15ff83e2531668d27c92091c97d31401ce323e24ee7c844cb32d5109ab9335f7/nerfstudio/images_4/frame_00016.png,15ff83e2531668d27c92091c97d31401ce323e24ee7c844cb32d5109ab9335f7/nerfstudio/images_4/frame_00163.png,15ff83e25316,57.1939,9.4273,58.4254,57.8265,3.3434
5845,6031,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00104.png,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00290.png,d4fbeba0168a,75.1328,19.7985,77.3966,77.3237,8.7356
402,433,073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561/nerfstudio/images_4/frame_00096.png,073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561/nerfstudio/images_4/frame_00127.png,073f5a9b983c,73.1141,5.0228,72.2708,69.8053,3.9022
3258,3499,9641a1ed7963ce5ca734cff3e6ccea3dfa8bcb0b0a3ff78f65d32a080de2d71e/nerfstudio/images_4/frame_00031.png,9641a1ed7963ce5ca734cff3e6ccea3dfa8bcb0b0a3ff78f65d32a080de2d71e/nerfstudio/images_4/frame_00272.png,9641a1ed7963,79.258,10.5936,82.9085,74.8658,6.3705
2365,2467,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00195.png,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00297.png,493816813d2d,70.3538,2.4116,70.2689,69.0049,3.2578
6609,6808,dafa9c7cbda9d1ddaa8a2b51fc8c54f4eb44161f5e5c53685dc744580ca77751/nerfstudio/images_4/frame_00137.png,dafa9c7cbda9d1ddaa8a2b51fc8c54f4eb44161f5e5c53685dc744580ca77751/nerfstudio/images_4/frame_00336.png,dafa9c7cbda9,86.242,14.8573,87.3307,87.237,4.1625
7247,7398,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00119.png,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00270.png,f71ac346cd0f,77.9432,7.2117,78.2121,78.0278,9.6486
4466,4618,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00092.png,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00244.png,b6d1134cb03c,73.0201,2.3907,75.9677,71.7219,9.2165
4489,4719,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00115.png,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00345.png,b6d1134cb03c,82.2995,0.7737,87.2735,79.7117,3.9105
6225,6453,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00160.png,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00392.png,d9b637662374,52.892,10.6077,53.7153,53.6328,6.781
0,90,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00001.png,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00091.png,0569e83fdc24,67.8055,2.5811,67.8899,67.7562,7.344
4,131,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00005.png,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00132.png,0569e83fdc24,86.9798,0.3158,87.0072,86.9462,9.6609
6614,6676,dafa9c7cbda9d1ddaa8a2b51fc8c54f4eb44161f5e5c53685dc744580ca77751/nerfstudio/images_4/frame_00142.png,dafa9c7cbda9d1ddaa8a2b51fc8c54f4eb44161f5e5c53685dc744580ca77751/nerfstudio/images_4/frame_00204.png,dafa9c7cbda9,62.8704,7.1587,63.1587,62.9634,6.3164
795,981,1264931635e127fb905c8953cbc2deadd0c763e633af7fbd9405a61ca849710c/nerfstudio/images_4/frame_00079.png,1264931635e127fb905c8953cbc2deadd0c763e633af7fbd9405a61ca849710c/nerfstudio/images_4/frame_00265.png,1264931635e1,65.5658,6.1798,65.9493,65.6701,4.0559
5845,6007,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00104.png,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00266.png,d4fbeba0168a,73.0103,19.2466,75.2699,75.1611,8.3468
4817,4875,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00056.png,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00114.png,c37109a55eff,87.0268,1.68,87.0154,85.7321,6.6266
2184,2469,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00014.png,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00299.png,493816813d2d,54.259,15.1435,56.1547,56.1527,3.0718
4814,5021,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00053.png,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00260.png,c37109a55eff,53.5241,14.2595,55.2671,55.1779,3.5741
4380,4541,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00006.png,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00167.png,b6d1134cb03c,56.4973,8.4763,59.1903,57.0667,6.8805
6938,7125,e78f8cebd2bd93d960bfaeac18fac0bb2524f15c44288903cd20b73e599e8a81/nerfstudio/images_4/frame_00119.png,e78f8cebd2bd93d960bfaeac18fac0bb2524f15c44288903cd20b73e599e8a81/nerfstudio/images_4/frame_00306.png,e78f8cebd2bd,87.2299,7.3854,88.2977,86.2198,9.6799
7174,7318,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00046.png,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00190.png,f71ac346cd0f,55.0446,8.6484,55.8477,55.5828,5.1356
2966,3051,5c8dafad7d782c76ffad8c14e9e1244ce2b83aa12324c54a3cc10176964acf04/nerfstudio/images_4/frame_00100.png,5c8dafad7d782c76ffad8c14e9e1244ce2b83aa12324c54a3cc10176964acf04/nerfstudio/images_4/frame_00185.png,5c8dafad7d78,80.4775,5.8976,80.7779,80.6563,11.1911
2197,2488,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00027.png,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00318.png,493816813d2d,78.8063,3.5207,78.8813,78.8618,4.9276
6692,6722,dafa9c7cbda9d1ddaa8a2b51fc8c54f4eb44161f5e5c53685dc744580ca77751/nerfstudio/images_4/frame_00220.png,dafa9c7cbda9d1ddaa8a2b51fc8c54f4eb44161f5e5c53685dc744580ca77751/nerfstudio/images_4/frame_00250.png,dafa9c7cbda9,69.3685,0.421,69.3779,69.3548,2.8672
158,262,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00159.png,0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166/nerfstudio/images_4/frame_00263.png,0569e83fdc24,69.8011,6.4954,70.205,69.6886,9.9375
3257,3345,9641a1ed7963ce5ca734cff3e6ccea3dfa8bcb0b0a3ff78f65d32a080de2d71e/nerfstudio/images_4/frame_00030.png,9641a1ed7963ce5ca734cff3e6ccea3dfa8bcb0b0a3ff78f65d32a080de2d71e/nerfstudio/images_4/frame_00118.png,9641a1ed7963,65.5028,15.2841,68.0912,62.4018,3.6982
317,472,073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561/nerfstudio/images_4/frame_00011.png,073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561/nerfstudio/images_4/frame_00166.png,073f5a9b983c,78.6465,6.1128,78.5345,75.9109,4.3656
7147,7264,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00019.png,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00136.png,f71ac346cd0f,85.9349,14.9629,87.0227,86.9359,9.8317
7267,7370,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00139.png,f71ac346cd0fc4652a89afb37044887ec3907d37d01d1ceb0ad28e1a780d8e03/nerfstudio/images_4/frame_00242.png,f71ac346cd0f,64.0494,2.941,63.8623,63.6226,9.0207
5779,5958,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00038.png,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00217.png,d4fbeba0168a,55.3594,17.852,57.8656,57.8262,2.0433
3807,3916,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/nerfstudio/images_4/frame_00199.png,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/nerfstudio/images_4/frame_00308.png,9c8c0e0fadd9,63.2152,27.1979,67.5897,66.1348,4.1297
2892,3169,5c8dafad7d782c76ffad8c14e9e1244ce2b83aa12324c54a3cc10176964acf04/nerfstudio/images_4/frame_00020.png,5c8dafad7d782c76ffad8c14e9e1244ce2b83aa12324c54a3cc10176964acf04/nerfstudio/images_4/frame_00303.png,5c8dafad7d78,73.4435,2.036,73.673,73.4624,7.8117
2529,2852,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00005.png,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00328.png,56452d9cd9e2,67.9148,7.2514,71.8658,67.6073,7.8155
4790,4827,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00029.png,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00066.png,c37109a55eff,71.4264,4.3792,71.8855,70.5663,3.7415
4163,4297,b3bf9079b442c681749f6bd95cfb0659c6d844f2228b2f4fa4b602a0e3627b9a/nerfstudio/images_4/frame_00156.png,b3bf9079b442c681749f6bd95cfb0659c6d844f2228b2f4fa4b602a0e3627b9a/nerfstudio/images_4/frame_00290.png,b3bf9079b442,55.1807,1.2179,56.8743,55.1912,9.6484
1884,2009,2beaca318994c25409dcbb6d0bdd96c3620f2f18aec44ea3f20edd302f18ca78/nerfstudio/images_4/frame_00077.png,2beaca318994c25409dcbb6d0bdd96c3620f2f18aec44ea3f20edd302f18ca78/nerfstudio/images_4/frame_00202.png,2beaca318994,55.6154,6.3105,57.1188,55.6753,8.7589
475,514,073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561/nerfstudio/images_4/frame_00169.png,073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561/nerfstudio/images_4/frame_00208.png,073f5a9b983c,88.5412,15.5607,89.6804,88.8549,4.409
5785,5924,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00044.png,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00183.png,d4fbeba0168a,88.7714,9.4362,88.9771,88.8555,4.5545
2546,2800,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00022.png,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00276.png,56452d9cd9e2,80.2951,7.3472,84.1104,80.2398,8.3706
6296,6464,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00235.png,d9b6376623741313bf6da6bf4cdb9828be614a2ce9390ceb3f31cd535d661a75/nerfstudio/images_4/frame_00403.png,d9b637662374,86.439,2.2133,86.4333,86.4333,6.0793
5011,5039,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00250.png,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00278.png,c37109a55eff,55.9133,7.0294,56.3702,56.1437,3.8197
4377,4519,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00003.png,b6d1134cb03c855d246f916beaa2d3d01290cf47937a5176011ff39b850ec615/nerfstudio/images_4/frame_00145.png,b6d1134cb03c,78.0208,6.9284,79.7836,78.2437,10.1954
